semaine;"num poule";competition;poule;J;le;horaire;"club rec";"club vis";"club hote";"arb1 designe";"arb2 designe";observateur;delegue;"code renc";"nom salle";"adresse salle";CP;Ville;colle;"Coul. Rec";"Coul. Gard. Rec";"Coul. Vis";"Coul. Gard. Vis";"Ent. Rec";"Tel Ent. Rec";"Corresp. Rec";"Tel Corresp. Rec";"Ent. Vis";"Tel Ent. Vis";"Corresp. Vis";"Tel Corresp. Vis";"Num rec";"Num vis"
2026-38;M624401011;2dtm-44;"2DTM - POULE 2";2;19/09/2026;20:00:00;"PONT-CHATEAU HANDBALL 2";"2DTM44C - PORTERIE HANDBALL * ALLIANCE ERDRE ET GESVRES";"PONT-CHATEAU HANDBALL";"GUERIN PIERRE";;;;WAGTFHL;"LE LANDAS";" route de st roch";44160;PONTCHATEAU;"Colle lavable à l'eau uniquement";Rouge;Violet;;;;;;;;;;;6244073;6244021
2026-38;M624402041;3dtm-44;"3DTM - POULE 5";2;19/09/2026;19:00:00;"3DTM44C - PORTERIE HANDBALL * ALLIANCE ERDRE ET GESVRES";"PHILBERT HANDBALL 2";"PORTERIE HANDBALL";;;;;WAGTLHI;"st joseph de la porterie n°1 - jean jahan";"509  route de st joseph de la porterie";44300;NANTES;"Colle fournie par le club recevant";;;;;;;;;;;;;6244021;6244088
2026-38;F62000301G;"d1fpl ; division 1 feminine territoriale";"D1FPL ; POULE B";1;19/09/2026;21:00:00;"PORTERIE HB*LA CHAPELAINE";"HANDBALL CLUB AUTHION";"PORTERIE HANDBALL";"BERNARD THIERRY";;;;WAGUGVT;"LA COUTANCIERE";" allee des favrieres";44240;"LA CHAPELLE SUR ERDRE";"Colle lavable à l'eau uniquement";Noir;Violet;Violet;Rose;;;;;;;;;6244021;6249052
2026-38;F624460031;u13f-44;"U13F - HONNEUR A - POULE 3";1;20/09/2026;14:00:00;"LAETITIA NANTES HB";"U13F44C - PORTERIE HB * ALLIANCE PORTES DE L'ERDRE";"LAETITIA NANTES HB";;;;;WAGQNYV;LAETITIA;"49 rue du chanoine larose";44100;NANTES;"Colle lavable à l'eau uniquement";Bleu;Rouge;;;;;;;;;;;6244015;6244021
2026-38;F624450041;u15f-44;"U15F - HONNEUR A - POULE 2";1;19/09/2026;14:30:00;"U15F44C - PORTERIE HB * ALLIANCE PORTES DE L'ERDRE";"HANDBALL ORVAULT 2";"PORTERIE HANDBALL";;;;;WAGTLHG;"st joseph de la porterie n°1 - jean jahan";"509  route de st joseph de la porterie";44300;NANTES;"Colle fournie par le club recevant";;;;;;;;;;;;;6244021;6244098
2026-38;M624445061;u16m-44;"U16M - HONNEUR A - POULE 4";2;19/09/2026;16:30:00;"U16M44C - PORTERIE HB * ALLIANCE PORTES DE L'ERDRE";"ASCED RIAILLE";"PORTERIE HANDBALL";;;;;WAGTLHF;"st joseph de la porterie n°1 - jean jahan";"509  route de st joseph de la porterie";44300;NANTES;"Colle fournie par le club recevant";;;;;;;;;;;;;6244021;6244054
2026-39;M624401011;2dtm-44;"2DTM - POULE 2";3;26/09/2026;19:00:00;"2DTM44C - PORTERIE HANDBALL * ALLIANCE ERDRE ET GESVRES";"HBC BLINOIS";"PORTERIE HANDBALL";;;;;WAGTFHN;"st joseph de la porterie n°1 - jean jahan";"509  route de st joseph de la porterie";44300;NANTES;"Toutes colles autorisées";Noir;Violet;Bleu-Noir;Bleu;;;;;;;;;6244021;6244035
2026-39;M624402041;3dtm-44;"3DTM - POULE 5";3;27/09/2026;11:00:00;"UNION SPORTIVE GRANDE PRESQU'ILE HANDBALL 4";"3DTM44C - PORTERIE HANDBALL * ALLIANCE ERDRE ET GESVRES";"UNION SPORTIVE GRANDE PRESQU'ILE HANDBALL";;;;;WAGTFOL;KERBINIOU;" rue gustave flaubert";44350;GUERANDE;"Colle lavable à l'eau uniquement";Vert-Noir;Orange;;;;;;;;;;;6244108;6244021
2026-39;F62000301G;"d1fpl ; division 1 feminine territoriale";"D1FPL ; POULE B";2;26/09/2026;19:30:00;"ANGERS LAC DE MAINE HANDBALL";"PORTERIE HB*LA CHAPELAINE";"ANGERS LAC DE MAINE HANDBALL";"BOUSSARD THOMAS";;;;WAGUGWB;"JEAN MONNET";" rue du haut chene";49000;ANGERS;"Colle lavable à l'eau uniquement";Bleu;Rouge;Noir;Violet;;;;;;;;;6249056;6244021
2026-39;Z624470051;"u11 mixte - 44";"U11M - HONNEUR B - POULE 1";1;27/09/2026;11:00:00;"HBC BLINOIS 2";"PORTERIE HANDBALL";"HBC BLINOIS";;;;;WAGVJNU;"catherine destivelle";" rue rene cassin";44130;BLAIN;"Toutes colles autorisées";Bleu-Jaune;Orange;Noir;Orange;;;;;;;;;6244035;6244021
